handle,label,chain,networkId,realPoints,stepsReturned,serviceCount,firstRealAt,firstRealUsd,lastRealAt,lastRealUsd,spanDays,chainLatestUsd,shareOfHoldings,chainPricedShare,chainReasonInAllChainsAnswer,status,drawable,usablePoints,drawingReason,answerRefused,pointRefusalReasons,trackedSince,basisOfRealPoints,chainsHeldByTrader,failed
gmgn_0x5c43ab26,,(all chains),,4,28,28,2026-08-30T00:00:00.000Z,299.09,2026-09-10T16:00:00.000Z,126.37,12,126.37,,,,warming,false,4,short_coverage,,chains_unrebuildable x24,2026-09-10T16:00:00.000Z,rebuilt x3; sampled x1,2,
gmgn_0x5c43ab26,,bsc,56,11,28,28,2026-08-16T00:00:00.000Z,5.13,2026-09-10T16:00:00.000Z,126.37,26,126.37,1.0000,1,,warming,false,11,short_coverage,,(no reason given) x17,2026-09-10T16:00:00.000Z,rebuilt x10; sampled x1,2,
gmgn_0x5c43ab26,,robinhood,4663,9,28,28,2026-08-30T00:00:00.000Z,299.09,2026-09-07T00:00:00.000Z,135.07,8,,,0,no_prices,warming,false,9,short_coverage,no_prices,no_prices x19,2026-09-10T16:00:00.000Z,rebuilt x9,2,
tdmilky,Tom,(all chains),,1,28,28,2026-09-10T16:00:00.000Z,108.17,2026-09-10T16:00:00.000Z,108.17,0,108.17,,,,ready,false,1,too_few_points,,chains_unrebuildable x27,2026-09-10T16:00:00.000Z,sampled x1,3,
tdmilky,Tom,robinhood,4663,20,28,28,2026-08-22T00:00:00.000Z,227.89,2026-09-10T16:00:00.000Z,95.58,20,95.58,0.8836,0.5,,warming,false,20,short_coverage,,no_prices x8,2026-09-10T16:00:00.000Z,rebuilt x19; sampled x1,3,
tdmilky,Tom,bsc,56,9,28,28,2026-08-15T00:00:00.000Z,106.11,2026-09-10T16:00:00.000Z,12.59,27,12.59,0.1164,1,,warming,false,9,short_coverage,,(no reason given) x19,2026-09-10T16:00:00.000Z,rebuilt x8; sampled x1,3,
tdmilky,Tom,ethereum,1,1,28,28,2026-08-30T00:00:00.000Z,68.26,2026-08-30T00:00:00.000Z,68.26,0,,,0,no_prices,ready,false,1,no_prices,no_prices,no_prices x4; (no reason given) x23,2026-09-10T16:00:00.000Z,rebuilt x1,3,
YYzzy_diamond,YYYzzy | GDC,(all chains),,1,28,28,2026-09-10T16:00:00.000Z,92.27,2026-09-10T16:00:00.000Z,92.27,0,92.27,,,,ready,false,1,too_few_points,,chains_unrebuildable x27,2026-09-10T16:00:00.000Z,sampled x1,1,
YYzzy_diamond,YYYzzy | GDC,ethereum,1,1,28,28,2026-09-10T16:00:00.000Z,92.27,2026-09-10T16:00:00.000Z,92.27,0,92.27,1.0000,0.4,,ready,false,1,too_few_points,,no_prices x18; (no reason given) x9,2026-09-10T16:00:00.000Z,sampled x1,1,
shenron__1,Shenron 🐉,(all chains),,1,28,28,2026-09-10T16:00:00.000Z,78.51,2026-09-10T16:00:00.000Z,78.51,0,78.51,,,,ready,false,1,too_few_points,,chains_unrebuildable x27,2026-09-10T16:00:00.000Z,sampled x1,3,
